Ticker,Name,1-Day %,AUM,Div Yield (TTM),Flow % AUM-D,Flow %AUM-W,Flow %AUM-M,Flow %AUM-FQ, Flow %AUM-Y,Total Return (1M),Total Return (3M),Fund Flows/Periodic (D),Fund Flows/Periodic (W),Fund Flows/Periodic (M),Fund Flows/Periodic (FQ),Fund Flows/Periodic (Y),Total Return (YTD)
LQD,iShares iBoxx IG Corporate Bond ETF,0.0004,35600.96,0.0459,0.0094,0.0304,0.1937,0.1410,0.1945,-0.0030,-0.0052,333.58,1081.38,6895.45,5019.88,6923.81,-0.0003
HYG,iShares High Yield Bond ETF,0.0011,16745.10,0.0590,-0.0085,-0.0461,0.0401,0.0026,-0.0256,0.0063,0.0084,-143.14,-772.58,671.70,43.43,-428.04,0.0188
JAAA,Janus Detroit CLO ETF,0.0004,29027.65,0.0495,0.0000,0.0185,0.0395,0.0792,0.2414,0.0036,0.0129,0.00,537.97,1147.60,2300.27,7006.09,0.0229
IWM,iShares Russell 2000 ETF,0.0128,83752.91,0.0089,0.0077,0.0253,0.0311,0.0069,-0.0412,0.0454,0.1374,646.05,2116.75,2603.38,574.64,-3450.52,0.2125
QQQ,QQQ Trust,0.0166,479563.34,0.0042,-0.0050,-0.0165,0.0055,0.0235,0.0314,0.0230,0.1866,-2383.89,-7893.88,2633.74,11281.76,15044.04,0.1802
BKLN,Invesco Senior Loan ETF,0.0005,7186.03,0.0657,0.0000,-0.0006,0.0028,0.1131,0.0421,0.0030,0.0087,0.00,-4.09,20.19,812.60,302.86,0.0031
SPY,SPDR S&P 500 ETF,0.0085,785843.55,0.0100,0.0033,-0.0034,-0.0027,0.0289,0.0164,0.0225,0.1084,2609.60,-2680.41,-2122.73,22705.58,12894.65,0.1082
MCHI,iShares MSCI China ETF,0.0064,6050.08,0.0206,-0.0070,-0.0140,-0.0140,-0.0465,-0.0246,-0.0139,-0.0641,-42.56,-84.42,-84.42,-281.07,-148.83,-0.1087
BIL,SPDR 1-3 Month T-Bill ETF,0.0001,46763.08,0.0381,0.0002,0.0026,-0.0143,-0.0926,0.1038,0.0029,0.0089,10.06,120.80,-668.84,-4329.75,4854.79,0.0184
IBIT,iShares Bitcoin ETF,0.0165,46321.22,,0.0000,0.0034,-0.0445,-0.0706,0.1528,0.0191,-0.1247,0.00,156.94,-2062.14,-3272.57,7079.43,-0.2788
Median  ,-,0.0038,40961.09,0.0381,0.0000,0.0010,0.0042,0.0152,0.0368,0.0049,0.0088,0.00,58.35,345.95,693.62,5889.30,0.0186
Average  ,-,0.0063,153685.39,0.0336,0.0000,-0.0000,0.0237,0.0186,0.0691,0.0109,0.0277,102.97,-742.15,903.39,3485.48,5007.83,0.0176
Min  ,-,0.0001,6050.08,0.0042,-0.0085,-0.0461,-0.0445,-0.0926,-0.0412,-0.0139,-0.1247,-2383.89,-7893.88,-2122.73,-4329.75,-3450.52,-0.2788
Max  ,-,0.0166,785843.55,0.0657,0.0094,0.0304,0.1937,0.1410,0.2414,0.0454,0.1866,2609.60,2116.75,6895.45,22705.58,15044.04,0.2125